,tweets,likes,time
0,Welcome news that finally a ceasefire from Friday between Israel and Hamas. Two states is the only reality and the only solution for the peace now and in the future and is well supported all over the world including UN.,0,2021-05-20 20:24:16
1,"@NBCNews It had to be Israel 🇮🇱 , Israel first !!

God Bless Israel 🇮🇱 🙏!!",0,2021-05-20 20:24:16
2,"RT @AJEnglish: LIVE: Israel and Hamas agree on a ceasefire.

Read more: https://t.co/hagOZm2mMW https://t.co/GXiJ8rdRJd",0,2021-05-20 20:24:16
3,"RT @BeardedDevil_: Don't buy into this whole ceasefire news, If you've followed the Palestine situation every year, you'd know by now not t…",0,2021-05-20 20:24:16
4,RT @Immy8713: @SkyNews Israel’s hit its target of hitting 50 schools and hospitals &amp; killed 50+ kids so mission accomplished for another ye…,0,2021-05-20 20:24:16
5,"As always, #FreePalestine.

Don't let the cease-fire turn your attention away from the horrors of Israel's Apartheid regime.

Keep the focus on. Keep the pressure on.

Keep giving solidarity to the families, like that of @m7mdkurd, in #SheikhJarrah.

Israel's violence continues.",0,2021-05-20 20:24:16
6,RT @hasanthehun: it's always 200+ Palestinians HAVE DIED and 12 people HAVE BEEN KILLED in Israel. how did the palestinians die? did they s…,0,2021-05-20 20:24:16
7,"Israël et le Hamas s’accordent sur un cessez-le-feu à compter de vendredi 
https://t.co/RBcTwULN4g",0,2021-05-20 20:24:16
8,RT @NoorAbdelHaq1: Can you see his face? Can you see what Israel is doing to the children of Palestine ?,0,2021-05-20 20:24:16
9,RT @NoorAbdelHaq1: Can you see his face? Can you see what Israel is doing to the children of Palestine ?,0,2021-05-20 20:24:16
10,"RT @GramsciFag: ""Trump was so much worse on Israel-Palestine, he moved the embassy to Jerusalem"" is something I hear a lot from people who…",0,2021-05-20 20:24:16
11,"RT @codepink: People's livelihoods are being destroyed. Whole families are being massacred. And now, plastic fumes are polluting the very a…",0,2021-05-20 20:24:16
12,RT @Dr_A_Alneami: The Jewish people.  Do not waste your life and lose your children and money because of the Zionist colonial project.  You…,0,2021-05-20 20:24:16
13,RT @sunrisemvmt: .@AOC and @BernieSanders are introducing a joint resolution of disapproval in Congress to block a $735 million bomb sale t…,0,2021-05-20 20:24:16
14,"RT @jewish_activist: She’s 10 years old. She shouldn’t have to be giving speeches like this. She shouldn’t have to live like this. However,…",0,2021-05-20 20:24:16
15,"RT @dw_espanol: #Israel anuncia un alto el fuego unilateral en #Gaza

Gabinete de seguridad israelí aprobó la medida tras fuertes presiones…",0,2021-05-20 20:24:16
16,RT @DebraMessing: PLEASE take 3 minutes and read through this carousel. There is so much disinformation about Israel being spread and it is…,0,2021-05-20 20:24:16
17,"RT @NationBreaking: ISRAEL AND Palestinian armed groups in Gaza, Hamas and Islamic Jihad agree to a ceasefire; a statement from office of I…",0,2021-05-20 20:24:16
18,RT @CNN: JUST IN: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in I…,0,2021-05-20 20:24:16
19,RT @m7mdkurd: All these bitches is my sons @Israel @IsraeliPM @MarkRegev @naftalibennett,0,2021-05-20 20:24:16
20,RT @NileGardiner: Behind Hamas’s rocket assault on Israel is an extensive arsenal built with expertise from Iran and growing local skills i…,0,2021-05-20 20:24:15
21,"RT @LinahAlsaafin: Israel and Hamas will cease fire across the Gaza Strip border as of 2 am on Friday (2300 GMT Thursday)

That’s just over…",0,2021-05-20 20:24:15
22,@Mazda_111 @inspectieshenk APARTHEID state ISRAËL KILLING INNOCENT CHILDREN AND THEIR PARENTS AND THEN STEALS THEIR HOMES. Source:  Human Rights Watch,0,2021-05-20 20:24:15
23,RT @theintercept: Canadian journalists fear retaliation for criticizing coverage of Israeli attacks on Gaza https://t.co/8NhrmYwvi1 by @ake…,0,2021-05-20 20:24:15
24,RT @revistaoeste: Israel e Hamas aprovam cessar-fogo https://t.co/RJ6C9IXGER,0,2021-05-20 20:24:15
25,"RT @israelmerino_: Solo hice mi trabajado. Cubrí una manifestación y difundí los vídeos. 

Me han amenazado de muerte, han difundido la ubi…",0,2021-05-20 20:24:15
26,"RT @BefourMaryam: Fuck the united nations. Fuck every shitty country that has stayed and watched, encouraged and funded Israel to continue…",0,2021-05-20 20:24:15
27,"#TRUMP
BABYLONIANS_MEDES_PERSIANS OTTAMAN EMPIRE_TRANS JORDAN RULED #JERUSALEM NEVER THE PALESTINIAN BEDOUIONS_EGYPT RULED GAZA BEFORE THE 6 DAY WAR #ARMAGEDDON HAPPENS IN ISRAEL #JERUSALEM IS #GOD'S FAVORITE PLACE IN THE UNIVERSE_KING #DAVID RULED #JERUSALEM OVER 3,000 YRS AGO
z https://t.co/4pDVcqUvTG",0,2021-05-20 20:24:15
28,"RT @HoyPalestina: Senado de Chile.
Israel está matando a Palestina. https://t.co/V64ZuFuXxt",0,2021-05-20 20:24:15
29,"RT @ToombsToni: Hamas goes underground while leaving the children up top when they think their rocket pads are about to get bombed 
Israel…",0,2021-05-20 20:24:15
30,RT @JonathanBerim: Un diputado usando el estrado que le da el pueblo para pedir la por la aniquilación de #Israel. No se veía algo así desd…,0,2021-05-20 20:24:15
31,RT @GiorgioCafiero: Criticizing Israel is no longer political suicide for American politicians. This is a big deal.,0,2021-05-20 20:24:15
32,"RT @SkyNews: BREAKING: The Israeli cabinet has approved a ceasefire to end a military operation in the Gaza Strip.

A Hamas official has al…",0,2021-05-20 20:24:15
33,"RT @n0nazarzone: please don’t watch Eurovision this year, Palestinians have directly asked that it be boycotted not only due Israel being i…",0,2021-05-20 20:24:15
34,"RT @MiddleEastEye: #BREAKING A ceasefire agreement has been reached between #Israel and Hamas in #Gaza, set to begin at 2am Friday morning…",0,2021-05-20 20:24:15
35,RT @98Memorial: Enfin #cessezlefeu entre #Israël+#Hamas. C'est 1 immense reconstruction qui est à l'ordre du jour avec #Gaza+ à l'intérieur…,0,2021-05-20 20:24:15
36,"RT @SandraTamari1: Israel wants Palestinian land without her people. To fulfill this goal, Israel treats Palestinians as expendable irregar…",0,2021-05-20 20:24:15
37,"RT @Callystor: ""Israël tue la #Palestine.""
Banderole solidaire des parlementaires au Sénat chilien, après une minute de silence dans l'hémi…",0,2021-05-20 20:24:15
38,"RT @MiddleEastEye: #BREAKING A ceasefire agreement has been reached between #Israel and Hamas in #Gaza, set to begin at 2am Friday morning…",0,2021-05-20 20:24:15
39,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:15
40,RT @uri4u: Orbán bewijst nut veto door EU-verklaring Israël te blokkeren https://t.co/HxoDo4WvNr via @ewmagazinenl,0,2021-05-20 20:24:14
41,RT @MiddleEastEyeFr: Des citoyens palestiniens d’Israël manifestent en mars 1976 à Nazareth lors d’une grève pour protester contre les expr…,0,2021-05-20 20:24:14
42,RT @washingtonpost: Exclusive: Sen. Bernie Sanders to introduce resolution of disapproval on $735 million U.S. arms sale to Israel https://…,0,2021-05-20 20:24:14
43,RT @Reuters: Hamas official confirms a 'mutual and simultaneous' truce with Israel will begin on Friday at 2 a.m. https://t.co/sjOZDuEtBx,0,2021-05-20 20:24:14
44,"RT @kitchen5203: THIS!
Can we all agree that Netanyahu should not have had his police raid Palestinian worshippers at al-Aqsa Mosque?

#wtp…",0,2021-05-20 20:24:14
45,"RT @evan_greer: if people want to make the (false) argument that ending US military aid to Israel is somehow antisemitic, may i counter-off…",0,2021-05-20 20:24:14
46,"RT @anne_gens: @SylvianeT1 Dans un premier temps les volontaires se bousculent, puis le ""réservoir"" se tarit. En Israël, malgré les pressio…",0,2021-05-20 20:24:14
47,@thebonnierotten Israel sucks......,0,2021-05-20 20:24:14
48,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:14
49,Israel aprueba un alto el fuego con Hamás en Gaza https://t.co/ZjmlDXNq3s,0,2021-05-20 20:24:14
50,"RT @democracynow: People in Israel live in ""total denial"" of the impact of Israel's colonial occupation on Palestinians, says journalist Gi…",0,2021-05-20 20:24:14
51,RT @Bolopion: Truth 1: Israel’s military has a long history of using excessive force against Palestinians with impunity. It can certainly t…,0,2021-05-20 20:24:14
52,RT @AlertaNews24: 🇪🇬🇮🇱🇵🇸 | AHORA: El presidente egipcio Sisi está enviando dos delegaciones de seguridad a Israel y Gaza para trabajar por…,0,2021-05-20 20:24:14
53,"RT @KenRoth: ""It cheapens the authentic struggle against anti-Semitism to fling such charges lightly. Just as anti-Semites shouldn’t use th…",0,2021-05-20 20:24:14
54,Rebel Rabbis: Anti-Zionist Jews Against Israel https://t.co/pe71fGbCMc via @YouTube. Jews against Israel! Please wake up to who owns Israel! Bunch of zionist predators,0,2021-05-20 20:24:14
55,RT @AFP: #BREAKING Egypt to monitor Israel-Gaza ceasefire: diplomatic sources https://t.co/TJcoHYIe23,0,2021-05-20 20:24:14
56,RT @MairavZ: Israeli evening news is reporting that residents of southern Israel are disappointed with the impending ceasefire. They want H…,0,2021-05-20 20:24:14
57,RT @ZeBigDragon: One of the most frustrating arguments Zionists use to justify Israel is “Jews lived here before so how are they colonizers…,0,2021-05-20 20:24:13
58,"#Breaking Israel Foreign Ministry:

 - The Security Cabinet this evening unanimously accepted the recommendation of all of the security officials, the IDF Chief-of-Staff, the head of the ISA, the head of the Mossad and the head of the National Security Council (1/3)",0,2021-05-20 20:24:13
59,"RT @RepDanBishop: House Democrats just voted against emergency funding for Israel to defend itself.

As I said yesterday, their party today…",0,2021-05-20 20:24:13
60,"RT @JENFL23: The AOC/Bernie anti-bombs bill WILL get a floor vote.

You will therefore see in real time who is owned by AIPAC &amp; the MIC and…",0,2021-05-20 20:24:13
61,@2funtime2 @vaibhav_0976 Do you want to make a country tamil eelam which is mostly tamil speaking language.your comments is baseless you want to  said to Israel army do genocide in hamas but same things is done by srilankan army in the time civil war,0,2021-05-20 20:24:13
62,RT @infobaeamerica: 🔴 REITERAMOS | Israel y Hamas acordaron un alto al fuego después de 11 días de enfrentamientos https://t.co/Tq5NrIUwuN,0,2021-05-20 20:24:13
63,RT @DaniellaCheslow: BREAKING: Ceasefire between #Hamas and #Israel to begin Friday at 2am,0,2021-05-20 20:24:13
64,"RT @dwnews: JUST IN: Israel's Security Cabinet has approved a unilateral ceasefire to end its 11-day military offensive in Gaza.

More to f…",0,2021-05-20 20:24:13
65,"RT @Noir_Franck: Ouais...

À un moment, faudrait peut-être qu'on juge #Israël pour son crime contre l'humanité, non ?",0,2021-05-20 20:24:13
66,"AOC, Bernie Sanders Try to Undermine Israel's Ability to Defend Itself Amid Hamas Rocket Attacks https://t.co/K95FB8hP6X",0,2021-05-20 20:24:13
67,RT @m7mdkurd: All these bitches is my sons @Israel @IsraeliPM @MarkRegev @naftalibennett,0,2021-05-20 20:24:13
68,"RT @Ibbyakram11: Just remember if a truce is broken, it will be Israel who violates the ceasefire. “Palestinian resistance will abide by th…",0,2021-05-20 20:24:13
69,"Hamas e Israel van a reunirse para tratar sus diferencias este viernes y en Nicaragua una oposición con más candidatos a la ""presidencia"" que la Tabla Periódica de los Elementos no llegan a hacerlo aunque el pueblo sea el Carbono y Ortega cualquier cosa.",0,2021-05-20 20:24:13
70,"RT @baxilaly: ISRAEL-PALESTINE CONFLICT
LATEST UPDATES.

Tamim bin Hamad Al Tani, Emir of Qatar,
He donated $ 50 million to Palestine and e…",0,2021-05-20 20:24:13
71,RT @cnnbrk: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in Israel…,0,2021-05-20 20:24:13
72,RT @aamullanee: So this is terrorism right? Like how does Israel still get to play the victim after all this?,0,2021-05-20 20:24:13
73,"@LanaMontalban @GiordanoGringo Muy valiente, muy cierto. Pero tan cierto como que Israel también es un ocupa en tierras palestinas y que Hamas no existiría de no ser por el hecho de que un conjunto de políticos decidieron robar una tierra y entregarsela a un grupo de personas.",0,2021-05-20 20:24:13
74,RT @gemmapunky: Grandes!!! Estibadores de Livorno en Italia que se negaron a cargar armas em barcos con destino a Israel. https://t.co/DdGh…,0,2021-05-20 20:24:13
75,"RT @Barahmeh: Israel’s devastation of Gaza. 

Harrowing.

(Photo by Wissam Nasser) https://t.co/D3vmPoP8c1",0,2021-05-20 20:24:13
76,"RT @theIovedcIub: Boycotting will be very effective and we need to cut off Israel's resources, please get this app !!!! https://t.co/CEwV5e…",0,2021-05-20 20:24:13
77,RT @LinksfraktionB: Bei der Solidaritätskundgebung für Israel vor dem Brandenburger Tor. In den letzten Tagen kam es zu antisemitischer Het…,0,2021-05-20 20:24:13
78,RT @AlertaNews24: 🇪🇬🇮🇱🇵🇸 | AHORA: El presidente egipcio Sisi está enviando dos delegaciones de seguridad a Israel y Gaza para trabajar por…,0,2021-05-20 20:24:13
79,Just In: Israel on Thursday announced a cease-fire in the bruising 11-day war against Hamas militants that caused widespread destruction in the Gaza Strip. https://t.co/E0FDItHKDu,0,2021-05-20 20:24:13
80,"RT @Mobeen44138867: Atleast 75,000 Palestinians displaced due to israel attack on gaza : Un https://t.co/rHYBpc5Ysn",0,2021-05-20 20:24:13
81,"RT @deputymaksoorti: Apartheid Israel is destroying all of the infrastructure in Gaza, all of the factories, everything.  It's like a game…",0,2021-05-20 20:24:13
82,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:12
83,RT @DietmarBartsch: Endlich. Eine gute Nachricht für #Israel und die Menschen im #Gaza.,0,2021-05-20 20:24:12
84,RT @hasanthehun: it's always 200+ Palestinians HAVE DIED and 12 people HAVE BEEN KILLED in Israel. how did the palestinians die? did they s…,0,2021-05-20 20:24:12
85,@srg1234 @CDCgov Who cares what Israel does. They also seem to be the leader of killing innocent people just because they live in Palestine.,0,2021-05-20 20:24:12
86,RT @drjazz76: @VP “to deescalate tensions” but “to approve $735 million weapons sale to Israel...” It’s tragicomic!,0,2021-05-20 20:24:12
87,"RT @DaveAtherton20: This was Birmingham yesterday, including ISIS flags. If Israel falls I am sure we are next on their list. https://t.co/…",0,2021-05-20 20:24:12
88,RT @AVeteran1956: Look at these murderers and killers of children. Israel’s ambassador to UN comes up to address UN General Assembly and po…,0,2021-05-20 20:24:12
89,"Israeli Security Cabinet approves cease-fire in Gaza, Israeli media says https://t.co/KKosb3EwOR #SmartNews",0,2021-05-20 20:24:12
90,"RT @erkanpehl: Der Chef der türk. Religionsbehörde #Diyanet, Ali Erbaş, nennt #Israel Babymörder.Hunderte Kinder und Babys verrotten gemein…",0,2021-05-20 20:24:12
91,"RT @FoxNews: Israel officials approve ceasefire with Hamas following 11 days of Gaza violence
https://t.co/ptF9dxGOS7",0,2021-05-20 20:24:12
92,RT @CNN: JUST IN: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in I…,0,2021-05-20 20:24:12
93,"RT @evanlweber: One piece of the significance of this that is likely to get lost:

@SenSanders, I believe, is the only member of the Senate…",0,2021-05-20 20:24:12
94,"RT @MiddleEastEye: #BREAKING Hamas and Israel agree to ceasefire after 11 days of intense air strikes on Gaza

https://t.co/CSZBsSqaqk",0,2021-05-20 20:24:12
95,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:12
96,the way israel thinks that ceasefire is enough,0,2021-05-20 20:24:12
97,"RT @collegeeq_: I encourage everyone wanting to know more about parts of this conflict to read this

https://t.co/vJp12OKjeq",0,2021-05-20 20:24:12
